orderdetail_key,order_id,product_id,customer_id,employee_id,shipper_id,order_date_key,shipped_date_key,quantity,unit_price,discount,revenue,product_name,category_name,list_price,supplier_id,supplier_name,supplier_country,customer_name,customer_region,customer_country,latitude,longitude,order_date,order_year,order_month,order_quarter,order_weekday,shipped_date,shipped_year,shipped_month,shipped_quarter,shipped_weekday,ship_delay_days
1,10248,11,85,5,3,19960704,19960716,12,14,0,168,Queso Cabrales,Dairy Products,21,5,Cooperativa de Quesos 'Las Cabras',Spain,Vins et alcools Chevalier,NULL,France,46.227638,2.213749,1996-07-04 00:00:00.000,1996,7,3,4,1996-07-16 00:00:00.000,1996,7,3,2,12
2,10248,42,85,5,3,19960704,19960716,10,9.8,0,98,Singaporean Hokkien Fried Mee,Grains/Cereals,14,20,Leka Trading,Singapore,Vins et alcools Chevalier,NULL,France,46.227638,2.213749,1996-07-04 00:00:00.000,1996,7,3,4,1996-07-16 00:00:00.000,1996,7,3,2,12
3,10248,72,85,5,3,19960704,19960716,5,34.8,0,174,Mozzarella di Giovanni,Dairy Products,34.8,14,Formaggi Fortini s.r.l.,Italy,Vins et alcools Chevalier,NULL,France,46.227638,2.213749,1996-07-04 00:00:00.000,1996,7,3,4,1996-07-16 00:00:00.000,1996,7,3,2,12
4,10249,14,79,6,1,19960705,19960710,9,18.6,0,167.4,Tofu,Produce,23.25,6,Mayumi's,Japan,Toms SpezialitÃ¤ten,NULL,Germany,51.165691,10.451526,1996-07-05 00:00:00.000,1996,7,3,5,1996-07-10 00:00:00.000,1996,7,3,3,5
5,10249,51,79,6,1,19960705,19960710,40,42.4,0,1696,Manjimup Dried Apples,Produce,53,24,G'day Mate,Australia,Toms SpezialitÃ¤ten,NULL,Germany,51.165691,10.451526,1996-07-05 00:00:00.000,1996,7,3,5,1996-07-10 00:00:00.000,1996,7,3,3,5
6,10250,41,34,4,2,19960708,19960712,10,7.7,0,77,Jack's New England Clam Chowder,Seafood,9.65,19,New England Seafood Cannery,United States,Hanari Carnes,RJ,Brazil,-14.235004,-51.92528,1996-07-08 00:00:00.000,1996,7,3,1,1996-07-12 00:00:00.000,1996,7,3,5,4
7,10250,51,34,4,2,19960708,19960712,35,42.4,0.15,1261.3999999999999,Manjimup Dried Apples,Produce,53,24,G'day Mate,Australia,Hanari Carnes,RJ,Brazil,-14.235004,-51.92528,1996-07-08 00:00:00.000,1996,7,3,1,1996-07-12 00:00:00.000,1996,7,3,5,4
8,10250,65,34,4,2,19960708,19960712,15,16.8,0.15,214.2,Louisiana Fiery Hot Pepper Sauce,Condiments,21.05,2,New Orleans Cajun Delights,United States,Hanari Carnes,RJ,Brazil,-14.235004,-51.92528,1996-07-08 00:00:00.000,1996,7,3,1,1996-07-12 00:00:00.000,1996,7,3,5,4
9,10251,22,84,3,1,19960708,19960715,6,16.8,0.05,95.76,Gustaf's KnÃ¤ckebrÃ¶d,Grains/Cereals,21,9,PB KnÃ¤ckebrÃ¶d AB,Sweden,Victuailles en stock,NULL,France,46.227638,2.213749,1996-07-08 00:00:00.000,1996,7,3,1,1996-07-15 00:00:00.000,1996,7,3,1,7
10,10251,57,84,3,1,19960708,19960715,15,15.6,0.05,222.29999999999998,Ravioli Angelo,Grains/Cereals,19.5,26,Pasta Buttini s.r.l.,Italy,Victuailles en stock,NULL,France,46.227638,2.213749,1996-07-08 00:00:00.000,1996,7,3,1,1996-07-15 00:00:00.000,1996,7,3,1,7
11,10251,65,84,3,1,19960708,19960715,20,16.8,0,336,Louisiana Fiery Hot Pepper Sauce,Condiments,21.05,2,New Orleans Cajun Delights,United States,Victuailles en stock,NULL,France,46.227638,2.213749,1996-07-08 00:00:00.000,1996,7,3,1,1996-07-15 00:00:00.000,1996,7,3,1,7
12,10252,20,76,4,2,19960709,19960711,40,64.8,0.05,2462.4,Sir Rodney's Marmalade,Confections,81,8,Specialty Biscuits Ltd.,United Kingdom,SuprÃªmes dÃ©lices,NULL,Belgium,50.503887,4.469936,1996-07-09 00:00:00.000,1996,7,3,2,1996-07-11 00:00:00.000,1996,7,3,4,2
13,10252,33,76,4,2,19960709,19960711,25,2,0.05,47.5,Geitost,Dairy Products,2.5,15,Norske Meierier,Norway,SuprÃªmes dÃ©lices,NULL,Belgium,50.503887,4.469936,1996-07-09 00:00:00.000,1996,7,3,2,1996-07-11 00:00:00.000,1996,7,3,4,2
14,10252,60,76,4,2,19960709,19960711,40,27.2,0,1088,Camembert Pierrot,Dairy Products,34,28,Gai pÃ¢turage,France,SuprÃªmes dÃ©lices,NULL,Belgium,50.503887,4.469936,1996-07-09 00:00:00.000,1996,7,3,2,1996-07-11 00:00:00.000,1996,7,3,4,2
15,10253,31,34,3,2,19960710,19960716,20,10,0,200,Gorgonzola Telino,Dairy Products,12.5,14,Formaggi Fortini s.r.l.,Italy,Hanari Carnes,RJ,Brazil,-14.235004,-51.92528,1996-07-10 00:00:00.000,1996,7,3,3,1996-07-16 00:00:00.000,1996,7,3,2,6
16,10253,39,34,3,2,19960710,19960716,42,14.4,0,604.8000000000001,Chartreuse verte,Beverages,18,18,Aux joyeux ecclÃ©siastiques,France,Hanari Carnes,RJ,Brazil,-14.235004,-51.92528,1996-07-10 00:00:00.000,1996,7,3,3,1996-07-16 00:00:00.000,1996,7,3,2,6
17,10253,49,34,3,2,19960710,19960716,40,16,0,640,Maxilaku,Confections,20,23,Karkki Oy,Finland,Hanari Carnes,RJ,Brazil,-14.235004,-51.92528,1996-07-10 00:00:00.000,1996,7,3,3,1996-07-16 00:00:00.000,1996,7,3,2,6
18,10254,24,14,5,2,19960711,19960723,15,3.6,0.15,45.9,GuaranÃ¡ FantÃ¡stica,Beverages,4.5,10,Refrescos Americanas LTDA,Brazil,Chop-suey Chinese,NULL,Switzerland,46.818188,8.227512,1996-07-11 00:00:00.000,1996,7,3,4,1996-07-23 00:00:00.000,1996,7,3,2,12
19,10254,55,14,5,2,19960711,19960723,21,19.2,0.15,342.71999999999997,PÃ¢tÃ© chinois,Meat/Poultry,24,25,Ma Maison,Canada,Chop-suey Chinese,NULL,Switzerland,46.818188,8.227512,1996-07-11 00:00:00.000,1996,7,3,4,1996-07-23 00:00:00.000,1996,7,3,2,12
20,10254,74,14,5,2,19960711,19960723,21,8,0,168,Longlife Tofu,Produce,10,4,Tokyo Traders,Japan,Chop-suey Chinese,NULL,Switzerland,46.818188,8.227512,1996-07-11 00:00:00.000,1996,7,3,4,1996-07-23 00:00:00.000,1996,7,3,2,12
21,10255,2,68,9,3,19960712,19960715,20,15.2,0,304,Chang,Beverages,19,1,Exotic Liquids,United Kingdom,Richter Supermarkt,NULL,Switzerland,46.818188,8.227512,1996-07-12 00:00:00.000,1996,7,3,5,1996-07-15 00:00:00.000,1996,7,3,1,3
22,10255,16,68,9,3,19960712,19960715,35,13.9,0,486.5,Pavlova,Confections,17.45,7,Pavlova Ltd.,Australia,Richter Supermarkt,NULL,Switzerland,46.818188,8.227512,1996-07-12 00:00:00.000,1996,7,3,5,1996-07-15 00:00:00.000,1996,7,3,1,3
23,10255,36,68,9,3,19960712,19960715,25,15.2,0,380,Inlagd Sill,Seafood,19,17,Svensk SjÃ¶fÃ¶da AB,Sweden,Richter Supermarkt,NULL,Switzerland,46.818188,8.227512,1996-07-12 00:00:00.000,1996,7,3,5,1996-07-15 00:00:00.000,1996,7,3,1,3
24,10255,59,68,9,3,19960712,19960715,30,44,0,1320,Raclette Courdavault,Dairy Products,55,28,Gai pÃ¢turage,France,Richter Supermarkt,NULL,Switzerland,46.818188,8.227512,1996-07-12 00:00:00.000,1996,7,3,5,1996-07-15 00:00:00.000,1996,7,3,1,3
25,10256,53,88,3,2,19960715,19960717,15,26.2,0,393,Perth Pasties,Meat/Poultry,32.8,24,G'day Mate,Australia,Wellington Importadora,SP,Brazil,-14.235004,-51.92528,1996-07-15 00:00:00.000,1996,7,3,1,1996-07-17 00:00:00.000,1996,7,3,3,2
